LIGHT				QUANTITIES	UNITS				LIGHT
7-40 ( 6-33 )	luminous exitance fr exitance  (f) lumineuse	M v , ( M  )	at a point on a surface, the luminous flux d Φ v  (item 7-32) leaving an element of the surface, divided by the area d A  (ISO 80000-3:2006, item 3-6) of that element, thus M  =  d Φ v  v d A	M v  =  r  ∞ M λ ( λ ) K ( λ ) d λ 0 See item 7-31 for  K ( λ ). See the Introduction,   0.5.1. For the analogous radiant  quantity,  see item 7-18. For the analogous photon  quantity,  see item 7-53.	7-40.a	lumen per square metre	lm· m –2		
7-41 ( 6-35 )	luminous exposure fr exposition  (f)  lumineuse,  lumination   (f)	H v , ( H )	time integral of illuminance  E v (item 7-36) during the duration ∆ t  (ISO 80000-3:2006, item 3-7), thus ∆ r t H v   = E v ( t )   d t 0	Formerly called quantity of illumination or light exposure. Luminous exposure is equal to the quotient of luminous energy d Q v  (item 7-34) incident on an element of the surface over given duration, by the area d A (ISO 80000-3:2006, item 3-6) of that element, i.e.  H v  =   d Q v /d A For the analogous radiant  quantity,  see item 7-20. For the analogous photon  quantity,  see item 7-55. For scotopic vision, see 0.5.4.	7-41.a       7-41.b	lux second lux hour	lx·   s  lx·  h		1 lx  ·  h  =  3 600 lx  ·  s	
7-42 (—)	colour stimulus function, relative colour stimulus function fr courbe  (f)  d'un  stimulus de couleur , courbe  (f)  relative  d’un stimulus de couleur	ϕ λ ( λ )	ϕ λ ( λ )  =  X λ ( λ )/ R where  X λ ( λ ) is the spectral distribution of a radiometric quantity  X ( λ ), such as  radiance (item 7-15) or radiant flux   (item   7-13),   as   a   function   of wavelength (item 7-3.2),   and R  is a fixed reference value		7-42.a	one	1		
7-43  (—)	tristimulus values fr composantes  (f) trichromatiques	X ,  Y  ,  Z ;  X 10 ,  Y 10 ,  Z 10	amounts of the three reference colour stimuli, in a given trichromatic system, required   to match   the   colour   of   the   stimulus considered. For a given colour stimulus described  by  the colour stimulus function  ϕ λ ( λ ) of a radiometric   quantity, r ∞ X   =   k ϕ λ ( λ ) x ( λ )   d λ 0     r ∞ Y   =   k ϕ λ ( λ ) y ( λ )   d λ 0     r ∞ Z   =   k ϕ λ ( λ ) z ( λ )   d λ 0 where  x ( λ ),  y ( λ ),  z ( λ ) are the CIE colour matching functions (item 7-44), and analogous expressions are for  X 10 ,  Y 10 ,  Z 10 .	X ,  Y  ,  Z  are in the 1931 CIE  colorimetric system. X 10 ,  Y 10 ,  Z 10  are in the 1964 CIE colorimetric system. For   sources,   k   may   be   chosen   as  k  =  K m  where  K m  is maximum  luminous spectral efficacy   (item 7-29). For object colours,  ϕ λ ( λ ) is given by one of the three products ⎧ ⎨ ρ ( λ ) ϕ λ ( λ )  =   S λ ( λ )   · τ   ( λ ) ⎩ β ( λ ) where  S λ ( λ ) is the relative spectral distribution of a quantity characterizing the source illuminating the object,  ρ ( λ ) is luminous reflectance (item 7-47.2),  τ  ( λ ) is luminous transmittance   (item   7-47.3),   β ( λ ) is   luminous   factor   (item   7-48),   and  k   is   chosen   to   be k   =   100     ∞ r   S λ ( λ ) y ( λ )   d λ / 0	7-43.a	See Remarks		[ X ]= [ Y  ]= [ Z ]= [ k ]  ·  m	For more information, see e.g. Reference [3].
7-44 ( 6-38 )	CIE colour- matching functions fr fonctions  (f)  colorimétrique  CIE	x ( λ ),  y ( λ ),; z ( λ );; x 10 ( λ ),; y 10 ( λ ),; z 10 ( λ )	tristimulus values of; monochromatic stimuli of equal radiant power	Values of  x ( λ ),  y ( λ ),  z ( λ ) are; defined in the 1931 CIE colorimetric system (2 ◦; observer) — applicable to fields of; from  1 ◦  to 4 ◦ .; The “CIE 1931 colour space” was created by the International Commission on Illumination (CIE) in 1931. Values of  x 10 ( λ ),  y 10 ( λ ),  z 10 ( λ ) are defined in the 1964 CIE colorimetric system (10 ◦ observer) — applicable to fields of observation with angles greater than 4 ◦ .	7-44.a	one	1		See the Introduction, 0.3.2.
7-45 ( 6-39 )	chromaticity  coordinates fr coordonnées  (f) trichromatiques	x ,  y ,  z ;; x 10 ,  y 10 , z 10	ratio of each of a set of three tristimulus values to their sum,; thus x  =  X /( X  +  Y  +  Z ),; y  =  Y  /( X  +  Y  +  Z ),; z  =  Z /( X  +  Y   +  Z ); and similar expressions apply to; x 10 ,  y 10 ,  z 10	Values of  x ,  y ,  z  are in the 1931 CIE colorimetric system (2 ◦ observer). Values of  x 10 ,  y 10 ,  z 10  are in the 1964 CIE colorimetric system (10 ◦ observer). Since  x  +  y  +  z  =  1, two variables   x ,   y   are   sufficient   to  express   chromaticity.	7-45.a	one	1		See the Introduction, 0.3.2.
7-46  (—)	colour temperature fr température  (f) de couleur	T c	temperature of a blackbody whose radiation has the same; chromaticity coordinates (item; 7-45)		7-46.a	kelvin	K		
7-47.1 (—) 7-47.2 (—) 7-47.3 (—)	luminous absorptance fr facteur  (m)  d'absorption  lumineuse, absorptance  (f)  lumineuse luminous  reflectance fr facteur  (m)  de  réflexion lumineuse, réflectance  (f)  lumineuse luminous  transmittance fr facteur  (m)  de  transmission lumineuse, transmittance  (f)  lumineuse	α v ρ v τ v	ratio of the absorbed luminous flux  Φ v,a  (item 7-32) to the luminous flux  Φ v,m  (item 7-32) of the incident radiation, thus α v  =   Φ v,a / Φ v,m ratio of the reflected luminous flux  Φ v,r  (item 7-32) to the luminous flux  Φ v,m  (item 7-32) of the incident radiation, thus  ρ v  =  Φ v,r / Φ v,m ratio   of   the   transmitted   luminous flux  Φ v,t  (item 7-32) to the luminous flux  Φ v,m  (item 7-32) of the incident radiation, thus   τ v  =   Φ v,t / Φ v,m	From the spectral reflectance  ρ ( λ ) (item 7-22.2), luminous reflectance is given by ρ  =  r  ∞ ρ ( λ ) Φ λ ( λ ) V  ( λ ) d λ 0 v r   ∞ Φ   ( λ ) V   ( λ )   d λ 0 λ where  Φ λ ( λ ) is the spectral radiant flux (or relative spectral distribution) of the source, and  V  ( λ ) is the spectral luminous efficiency (item 7-28). Similar expressions for luminous absorptance and transmittance apply. See also items 7-22.1, 7-22.2 and 7-22.3.	7-47.a	one	1		See the Introduction, 0.3.2.
7-48  (—)	luminance factor  fr facteur  (m ) de  luminance	β , ( β v )	ratio of the luminance  L v,n  (item 7-37) of the surface element in the given direction to the luminance  L v,d  of a perfect reflecting or transmitting diffuser identically illuminated, thus β  =  L v,n / L v,d	This quantity is also defined spectrally and called the spectral luminance factor. Luminance factor can be calculated from spectral radiance factor  β ( λ ) (item 7-24.1) using similar equation as given in the Remarks for item 7-47. For the analogous radiant  quantity,  see item 7-24.1.	7-48.a	one	1		See the Introduction, 0.3.2.
7-49 ( 6-22 )	photon number fr nombre ( m)  de  photons	N p , ( Q p )	for monochromatic radiation of frequency  ν  (item 7-1), N p  =  Q / hν  where  Q  is radiant energy (item 7-6), and  h  is the Planck constant ( ISO 80000-1 0:—, item 10-5.1)	At low energies, the number of photons is considered to be an average. Symbol  ν  is Greek letter nu.	7-49.a	one	1		See the Introduction, 0.3.2.
7-50 ( 6-23 )	photon flux fr flux  (m) photonique	Φ p ,  Φ	quotient of the number d N p  of photons (item 7-49) emitted, transmitted, or received in a time interval, by its duration d t  (ISO 80000-3:2006, item 3-7), thus Φ p  =  d N p /d t	The photon flux  Φ p  is related to the spectral radiant power  Φ λ ( λ ) by  Φ  =  r  Φ  ( λ )  λ    d λ p λ hc 0 where  h  is the Planck constant ( ISO 80000-10 :—, item 10-6.1), and  c 0  is the speed of light in vacuum (item 7-4.1). For the analogous radiant  quantity,  see item 7-13. For the analogous visible  quantity,  see item 7-32.	7-50.a	second to the power minus one	s –1		
7-51 ( 6-24 )	photon intensity fr intensité  (f) photonique	I p ,  I	in a given direction from a source, the photon flux d Φ p  (item 7-50) leaving the source, or an element of the source, in an elementary cone containing the given direction, divided by the solid angle d Ω (ISO 80000-3:2006, item 3-6) of that cone, thus I p  =  d Φ p /d Ω	For the analogous radiant  quantity,  see item 7-14. For the analogous visible  quantity,  see item 7-35.	7-51.a	second to the power minus one per steradian	s –1 ·sr –1		
7-52 ( 6-25 )	photon luminance, photon radiance fr luminance  (f) photonique	L p ,  L	at a point on a surface and in a given direction, the photon intensity d I p  (item 7-51) of an element of the surface, divided by the area d A (ISO 80000-3:2006, item 3-3) of the orthogonal projection of this element on a plane perpendicular to the given direction, thus L p  =  d I p /d A	For the analogous radiant  quantity,  see item 7-15. For the analogous visible  quantity,  see item 7-37.	7-52.a	second to the power minus one per steradian metre squared	s –1 ·sr  –1 ·m –2		
7-53 ( 6-26 )	photon exitance fr exitance  (f) photonique	M p ,  M	at a point on a surface, the photon flux d Φ p  (item 7-50) leaving an element of the surface, divided by the area d A  (ISO 80000-3:2006, item 3-3) of that element, thus M p  =  d Φ p /d A	For the analogous radiant  quantity,  see item 7-18. For the analogous visible  quantity,  see item 7-40.	7-53.a	second to the power minus one per metre squared	s –1 ·m –2		
7-54 ( 6-27 )	photon irradiance  fr éclairement  (m)  photonique	E p ,  E	at a point on a surface, the photon flux d Φ p  (item 7-50) incident on an element of the surface, divided by the area d A  (ISO 80000-3:2006, item 3-3) of that element, thus E p  =  d Φ p /d A	For the analogous radiant quantity, see item 7-19. For the analogous visible quantity, see item 7-36.	7-54.a	second to the power minus one per metre squared	s –1 ·m –2		
7-55 ( 6-28 )	photon exposure fr exposition  (f) photonique	H p ,  H	time integral of photon irradiance  E p  (item 7-54) during the duration  ∆ t  (ISO 80000-3:2006, item 3-7), thus ∆ r t H p   = E p   d t 0	For the analogous radiant quantity, see item 7-20. For the analogous visible quantity, see item 7-41.	7-55.a	metre to the power minus two	m –2		
7-56 ( 6-18 )	Stefan-Boltzmann  constant fr constante  (f)  de  Stefan- Boltzmann	σ	constant  σ  in the expression for the radiant exitance (item 7-18) of a blackbody at thermodynamic temperature  T  ( ISO 80000-5:2007 , item 5-1), thus M  =  σT  4	σ  =  5,670 400 ( 40 )  ×  10 − 8 W  ·  m − 2  ·  K − 4 See CODATA 2006 [4] . 2 π 5 k 4 Further,  σ  = 15 h 3 c 2 0 where  k  is the Boltzmann constant ( ISO 80000- 9:—, item 9-37),  h  is the Planck   constant   ( ISO   80000- 10:—,   item 10-6.1) and  c 0  is the speed of light in vacuum (item   7-4.1).	7-56.a	watt per metre squared kelvin to the power four	W·m –2 ·K –4		
7-57 ( 6-19 )	first radiation constant fr première constante  (f)  de  rayonnement	c 1	constants  c 1  and  c 2  in the expression for the spectral radiant exitance (item 7-18) of a blackbody at the thermodynamic temperature  T  ( ISO 80000-5:2007 , item 5-1), thus M λ ( λ )  =  c 1 f  ( λ ,  T  )  = λ − 5 c 1  exp( c λ − 1  T − 1 )  −  1 2	c 1   =   3,741   771   18(19)   ×   10 − 16   W   ·   m 2 c 2  =  1,468 775 2(25)  ×  10 − 2  m  ·  K See CODATA 2006 [4] . Further,  c 1  =  2 πhc 2 , and  c 2  =  hc  / k 0 0 where  k  is the Boltzmann constant ( ISO 80000- 9:—, item 9-37),  h  is the Planck   constant   ( ISO   80000- 10:—,   item 10-6.1) and  c 0  is the speed of light in vacuum (item   7-4.1). The name “first radiation constant” has also been used for the factors 8 πhc 0  and  hc 2  in the corresponding 0 expressions for  w λ  and  L λ ( λ ) (see Remarks in items 7-13 and 7-15)	7-57.a	watt metre squared	W·m 2		
7-58 ( 6-20 )	second radiation constant fr seconde constante  (f) de rayonnement	c 2			7-58.a	metre kelvin	m· K		
7-59.1 ( 6-45.1 ); 7-59.2 ( 6-45.2 ); 7-59.3 ( — ); 7-59.4 ( — )	object distance fr distance  (f)  de  l'objet image distance fr distance  (f)  de  l'image object focal distance fr distance  (f)  focale  de l'objet image focal distance fr distance  (f)  focale  de l'image	p; p ,; f; f ,	for a centred optical system, distance (ISO 80000-3:2006,; item 3-1.9) from a given object; to the closest surface of the; centred optical system; for a centred optical system, distance (ISO 80000-3:2006,; item 3-1.9) from an image of the; given object to the closest; surface of the centred optical; system; for a centred optical system, distance (ISO 80000-3:2006,; item 3-1.9) from the focal point; at the object side to the closest; surface of the centred optical; system; for a centred optical system, distance (ISO 80000-3:2006,; item 3-1.9) from the focal point; at the image side to the closest; surface of the centred optical; system	Distances are taken positive in the direction of the light flow and negative in the opposite distance. Then, for a thin lens, 1 1 1 f ,  =  − f  and  p ,  −  p  =  f When   f ,   =   − f   ,   the   absolute value   | f |   is   often   called   focal distance.	7-59.a	metre	m		
7-60 ( 6-46 )	lens power fr vergence  (f)	ϕ	algebraic quantity characterizing the focusing; properties of an optical system,; thus  ϕ  =  1/ f  where  f  is the; object focal distance (item; 7-59.3)		7-60.a	metre to the power minus one	m –1		In optics, diopter D is often used: 1D  :=  1 m − 1 .
7-61  (—)	degree of linear polarization fr degré  (m)  de  polarisation rectiligne	P	P   =  ( I 0  −  I 1 )/( I 0  +   I 1 ) where  I 0  is the radiant intensity (item 7-14) or the luminous; intensity (item 7-35) observed; through an ideal polarizer when; the polarizer is set so that the; intensity transmitted is maximal,; and  I 1  is the intensity when the; polarizer is set perpendicular to; that direction.	The degree of circular polarization can be observed behind a  λ /4 plate.	7-61.a	one	1		See the Introduction, 0.3.2.
